wl,n,k
1.40E+01,1.18474,3.70E-01
1.41E+01,1.189086,3.72E-01
1.41E+01,1.191399,3.74E-01
1.42E+01,1.195603,3.76E-01
1.42E+01,1.197623,3.77E-01
1.43E+01,1.201594,3.79E-01
1.43E+01,1.203552,3.81E-01
1.44E+01,1.207465,3.83E-01
1.44E+01,1.209428,3.84E-01
1.45E+01,1.213645,3.86E-01
1.45E+01,1.215328,3.87E-01
1.46E+01,1.218762,3.90E-01
1.46E+01,1.220973,3.92E-01
1.47E+01,1.225566,3.93E-01
1.47E+01,1.227627,3.94E-01
1.48E+01,1.231631,3.96E-01
1.48E+01,1.233597,3.97E-01
1.49E+01,1.2375,3.99E-01
1.49E+01,1.239445,4.00E-01
1.50E+01,1.243348,4.02E-01
1.50E+01,1.245318,4.03E-01
1.51E+01,1.24938,4.04E-01
1.51E+01,1.251704,4.05E-01
1.51E+01,1.253631,4.05E-01
1.52E+01,1.256977,4.07E-01
1.52E+01,1.25888,4.08E-01
1.53E+01,1.263173,4.10E-01
1.53E+01,1.265082,4.10E-01
1.54E+01,1.26844,4.12E-01
1.55E+01,1.270391,4.13E-01
1.55E+01,1.272559,4.14E-01
1.56E+01,1.276473,4.15E-01
1.56E+01,1.278233,4.16E-01
1.57E+01,1.282639,4.18E-01
1.57E+01,1.284709,4.18E-01
1.57E+01,1.286576,4.19E-01
1.58E+01,1.290576,4.20E-01
1.58E+01,1.292723,4.21E-01
1.59E+01,1.294706,4.21E-01
1.60E+01,1.298872,4.22E-01
1.60E+01,1.30131,4.22E-01
1.60E+01,1.303145,4.22E-01
1.61E+01,1.306556,4.23E-01
1.61E+01,1.30854,4.24E-01
1.62E+01,1.313112,4.25E-01
1.63E+01,1.315327,4.25E-01
1.63E+01,1.317122,4.25E-01
1.64E+01,1.320901,4.26E-01
1.64E+01,1.322675,4.26E-01
1.64E+01,1.324631,4.27E-01
1.65E+01,1.326773,4.27E-01
1.66E+01,1.33087,4.23E-01
1.66E+01,1.333056,4.28E-01
1.66E+01,1.334869,4.28E-01
1.67E+01,1.338869,4.29E-01
1.67E+01,1.341074,4.29E-01
1.68E+01,1.342949,4.29E-01
1.69E+01,1.347481,4.30E-01
1.69E+01,1.349696,4.29E-01
1.69E+01,1.351233,4.29E-01
1.70E+01,1.352834,4.29E-01
1.71E+01,1.356772,4.30E-01
1.71E+01,1.359301,4.30E-01
1.71E+01,1.361083,4.29E-01
1.72E+01,1.364655,4.30E-01
1.73E+01,1.367219,4.30E-01
